Strategy,Noise_0.0,Noise_0.1,Noise_0.2,Noise_0.3,Noise_0.4
Cooperator,2.375357142857143,1.6346428571428573,1.6482142857142856,1.8317857142857144,1.9864285714285714
Defector,2.2885714285714287,2.3299999999999996,2.4067857142857143,2.3721428571428573,2.345357142857143
Tit For Tat,2.672857142857143,2.103214285714286,2.1142857142857143,2.145,2.222142857142857
Random,0,0,0,0,0
Grudger,2.8771428571428572,2.499642857142857,2.3903571428571433,2.389642857142857,2.311071428571428
Win-Stay Lose-Shift,2.6128571428571425,1.9514285714285715,1.9807142857142856,2.0828571428571427,2.1757142857142857
Tit For 2 Tats,2.513214285714286,1.924642857142857,1.9035714285714285,1.9889285714285714,2.0807142857142855
BackStabber,0,0,0,0,0
Cycler DDC,1.9896428571428573,2.0571428571428574,2.117857142857143,2.1807142857142856,2.217142857142857
Cycler CCCD,1.6810714285714285,1.7325,1.872142857142857,1.95,2.084285714285714
ZD-GTFT-2,0,0,0,0,0
EvolvedLookerUp2_2_2,2.8003571428571425,2.0825,2.1235714285714287,2.1792857142857143,2.1975000000000002
Evolved ANN,2.8175,2.419285714285714,2.2964285714285713,2.3910714285714287,2.305
Evolved FSM 16,2.825714285714286,2.301071428571429,2.3535714285714286,2.330357142857143,2.3057142857142856
Cycler DC,1.8835714285714287,1.9614285714285715,2.0421428571428573,2.1089285714285717,2.248214285714286
